strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
USA/NC-CDC-0024/2020	2020-03-08	1.00	19A	USA		North Carolina		202011	MT325589	Homo sapiens	B.1	Older	North America		Li et al C				
FRA/FRA_WGS157/2020	2020-03-06	1.00	19A	France		France		202010	MW322968	Homo sapiens	B.1	Older	Europe		Marot et al A				
ETH/AH-003/2020	2020-11-10	3.00	19A	Ethiopia		Ethiopia		202046	MZ172409	Homo sapiens	B.1	Older	Africa		Alemayehu et al				
ETH/39650_S8_L001_1/2020	2020-12-20	1.00	19A	Ethiopia		Ethiopia		202052	MW703382	Homo sapiens	B.1	Older	Africa		Weldemariam et al A				
ETH/39379_S7_L001_1/2020	2020-12-20	1.00	19A	Ethiopia		Ethiopia		202052	MW703380	Homo sapiens	B.1	Older	Africa		Weldemariam et al B				
DJI/NAMRU3_A14/2020	2020-11-16	2.00	19A	Djibouti		Djibouti		202047	MZ517142	Homo sapiens	B.1	Older	Africa		Arnold et al A				
DJI/NAMRU3_A71/2020	2020-11-16	2.00	19A	Djibouti		Djibouti		202047	MZ517145	Homo sapiens	B.1	Older	Africa		Arnold et al B				
MLT/Sliema_1/2020	2020-08-19	1.00	19A	Malta		Malta		202034	MW079418	Homo sapiens	B.1.389	Older	Europe		Biazzo et al A				
MLT/Sliema_2/2020	2020-09-04	1.00	19A	Malta		Malta		202036	MW079419	Homo sapiens	B.1.389	Older	Europe		Biazzo et al B				
AUS/VIC1617/2020	2020-05-06	1.00	19A	Australia		Victoria		202019	MT612215	Homo sapiens	B.1	Older	Oceania		Caly et al S		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC1689/2020	2020-05-19	1.00	19A	Australia		Victoria		202021	MT612276	Homo sapiens	B.1	Older	Oceania		Caly et al T		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
HongKong/Case1142/2020	2020-06-22	2.00	19A	Hong Kong		Hong Kong		202026	MW181749	Homo sapiens	B.1	Older	Asia		Siu et al C				
OU453223	2020-06-15	1.00	19A	Germany		Lower Saxony		202025	OU453223	Homo sapiens	B.1.159	Older	Europe		? A				
GMB/GC19-029/2020	2020-04-20	1.00	19A	Gambia		Gambia		202017	MZ040130	Homo sapiens	B.1	Older	Africa		Kanteh et al B				
BHR/920267586/2020	2020-06-22	2.00	19A	Bahrain		Bahrain		202026	MT745767	Homo sapiens	B.1.281	Older	Asia		Altaif et al				
BHR/340564387_S8_L001/2020	2020-08-25	1.00	19A	Bahrain		Bahrain		202035	MW228052	Homo sapiens	B.1.281	Older	Asia		AlWasti et al B				
PER/covper055/2020	2020-04-01	2.00	19A	Peru		Peru		202014	MW030198	Homo sapiens	B.1	Older	South America		Juscamayta et al B				
EGY/NRC1/2020	2020-05-01	1.00	19A	Egypt		Egypt		202018	MW737677	Homo sapiens	B.1	Older	Africa		Dawood et al				
SRB/PA00791-01-04/2020	2020-03-31	1.00	19A	Serbia		South Banat District		202014	MW327512	Homo sapiens	B.1	Older	Europe		Vidanovic et al A				
EGY/CPHL-NRC-23/2020	2020-03-13	1.00	19A	Egypt		Egypt		202011	MW451600	Homo sapiens	B.1	Older	Africa		Kayed et al A				
TUR/KOC-IST-SP3/2020	2020-05-18	1.00	19A	Turkey		Turkey		202021	MW199143	Homo sapiens	B.1.9.5	Older	Europe		Ozer et al A				
EGY/Egypt-Army-Thirdwave358/2021	2021-05-02	1.00	19A	Egypt		Egypt		202118	MZ093207	Homo sapiens	B.1	Older	Africa		Seadawy et al F				
EGY/Egypt-Army-Thirdwave359/2021	2021-05-02	1.00	19A	Egypt		Egypt		202118	MZ093208	Homo sapiens	B.1	Older	Africa		Seadawy et al G				
EGY/Egypt-Army-Thirdwave357/2021	2021-05-02	1.00	19A	Egypt		Egypt		202118	MZ093206	Homo sapiens	B.1	Older	Africa		Seadawy et al H				
EGY/Egypt-Army-Thirdwave360/2021	2021-05-02	1.00	19A	Egypt		Egypt		202118	MZ093209	Homo sapiens	B.1	Older	Africa		Seadawy et al I				
EGY/CPHL-NRC-21/2020	2020-03-13	1.00	19A	Egypt		Egypt		202011	MW451602	Homo sapiens	B.1	Older	Africa		Kayed et al B				
VEN/Zul6567/2021	2021-05-08	8.00	19A	Venezuela		Venezuela		202118	MZ611975	Homo sapiens	B.1.625	Older	South America		Pujol et al A				
USA/HI-CDC-QDX26299955/2021	2021-06-24	8.00	21H	USA	0.00	Hawaii	B.1.621	202125	MZ727828	Homo sapiens	B.1.621	One month ago	North America		Howard et al A				-12.51
USA/OR-CDC-ASC210114231/2021	2021-07-13	8.00	21H	USA	0.00	Oregon	B.1.621	202128	MZ742612	Homo sapiens	B.1.621	One month ago	North America		Howard et al B				-12.51
USA/UT-UPHL-201114999/2020	2020-04-06	1.00	19A	USA		Utah		202015	MW241185	Homo sapiens	B.1.112	Older	North America		Young et al A		Utah Public Health Laboratory	Utah Public Health Laboratory Infectious Disease submission group	
USA/NMDOH-2020007244/2020	2020-03-09	1.00	19A	USA		New Mexico		202011	MW268728	Homo sapiens	B.1	Older	North America		Johnson et al A		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	
VEN/12MZ/2020	2020-05-22	1.00	19A	Venezuela		Venezuela		202021	MT907520	Homo sapiens	B.1.111	Older	South America		Loureiro et al B				
VEN/Anz7498/2021	2021-03-12	3.00	19A	Venezuela		Venezuela		202110	MZ611974	Homo sapiens	B.1.111	Older	South America		Pujol et al B				
SRB/KV52-12-05/2020	2020-05-11	2.00	19A	Serbia		Raška District		202020	MT883501	Homo sapiens	B.1	Older	Europe		Vidanovic et al B				
EGY/EGY-ARMY-MCL012/2020	2020-11-19	1.00	19A	Egypt		Egypt		202047	MW547420	Homo sapiens	B.1	Older	Africa		Seadawy et al J				
IDN/RSDS-RCVTD-UNAIR-11-B/2020	2020-05-19	1.00	19A	Indonesia		Indonesia		202021	MZ026855	Homo sapiens	B.1.470	Older	Asia		Rantam et al A				
USA/TN-QDX-1063/2020	2020-03-19	1.00	19A	USA		Tennessee		202012	MW065198	Homo sapiens	B.1	Older	North America		Rosenthal et al D		Quest Diagnostics	Quest Diagnostics	
AUS/VIC1710/2020	2020-05-19	1.00	19A	Australia		Victoria		202021	MT612297	Homo sapiens	B.1.164	Older	Oceania		Caly et al U		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
USA/FL-BPHL-1080/2020	2020-05-16	1.00	19A	USA		Florida		202020	MT956697	Homo sapiens	B.1	Older	North America		Schmedes et al A				
SAU/671/2020	2020-02-27	1.00	19A	Saudi Arabia		Saudi Arabia		202009	MT755898	Homo sapiens	B.1	Older	Asia		Alosaimi et al				
EGY/CPHL-NRC-3/2020	2020-04-05	1.00	19A	Egypt		Egypt		202015	MW451598	Homo sapiens	B.1	Older	Africa		Kayed et al C				
EGY/CPHL-NRC-10/2020	2020-04-12	1.00	19A	Egypt		Egypt		202016	MW451245	Homo sapiens	B.1	Older	Africa		Roshdy et al				
Germany/BW-42512488/2020	2020-10-30	2.00	19A	Germany		Baden-Wuerttemberg		202044	OU370868	Homo sapiens	B.1.160.30	Older	Europe		? B				
TUN/TUN-202053873/2020	2020-10-26	3.00	19A	Tunisia		Tunisia		202044	MW295556	Homo sapiens	B.1.160	Older	Africa		Boutiba-Ben Boubaker et al A				
TUN/TUN-202055308/2020	2020-11-02	2.00	19A	Tunisia		Tunisia		202045	MW302336	Homo sapiens	B.1.160	Older	Africa		Boutiba-Ben Boubaker et al B				
SRB/BP73365-27-11/2020	2020-11-27	2.00	19A	Serbia		South Bačka District		202048	MW548718	Homo sapiens	B.1.160	Older	Europe		Vidanovic et al C				
HG994566	2021-02-22	2.00	19A	France		Hauts de France		202108	HG994566	Homo sapiens	B.1.160	Older	Europe		Derhourhi et al				
OU368298	2020-12-24	2.00	19A	Germany		Baden-Wuerttemberg		202052	OU368298	Homo sapiens	B.1.160	Older	Europe		? C				
TWN/CGMH-CGU-41/2020	2020-11-12	1.00	19A	Taiwan		Taiwan		202046	MZ020649	Homo sapiens	B.1.470	Older	Asia		Tsao et al D				
EGY/CUNCI-HGC11I036/2021	2021-01-03	1.00	19A	Egypt		Egypt		202101	MW509811	Homo sapiens	B.1.466	Older	Africa		Zekri et al A				
EGY/CUNCI-HGC12I042/2021	2021-01-09	1.00	19A	Egypt		Egypt		202101	MW533308	Homo sapiens	B.1.466	Older	Africa		Zekri et al B				
PAK/SARS-CoV-2_69/2020	2020-05-30	1.00	19A	Pakistan		Punjab PK		202022	MW422050	Homo sapiens	B.1.36	Older	Asia		Badar et al B				
PAK/AKUs56/2020	2020-10-09	1.00	19A	Pakistan		Pakistan		202041	MW433723	Homo sapiens	B.1.471	Older	Asia		Ghanchi et al A				
FIN/SR121-VE6-H10/2020	2020-10-09	3.00	19A	Finland		Finland		202041	MW717676	Homo sapiens	B.1.463	Older	Europe		Smura et al A				
IDN/RSDS-RCVTD-UNAIR-33-B/2020	2020-06-24	1.00	19A	Indonesia		Indonesia		202026	MZ570402	Homo sapiens	B.1.36	Older	Asia		Rantam et al B				
SAU/KAIMRC64/2020	2020-04-08	1.00	19A	Saudi Arabia		Saudi Arabia		202015	MT820486	Homo sapiens	B.1	Older	Asia		Alghoribi et al A				
OU159976	2020-11-23	1.00	19A	Germany		North Rhine Westphalia		202048	OU159976	Homo sapiens	B.1.36	Older	Europe		? C				
BGD/DNAS_DRICM_isl_SIBL_12/2020	2020-06-11	1.00	19A	Bangladesh		Bangladesh		202024	MT818590	Homo sapiens	B.1.36.8	Older	Asia		Khan et al A				
IND/GBRC417a/2020	2020-07-18	1.00	19A	India		Gujarat		202029	MW242670	Homo sapiens	B.1.36.8	Older	Asia		Katara et al		General Hospital,Godhra	Gujarat Biotechnology Research Centre	
PAK/JRCGR-KHI27/2020	2020-06-02	1.00	19A	Pakistan		Karachi		202023	MW447615	Homo sapiens	B.1.36	Older	Asia		Shakeel et al A				
PAK/JRCGR-KHI17/2020	2020-07-02	1.00	19A	Pakistan		Karachi		202027	MW447645	Homo sapiens	B.1.36	Older	Asia		Shakeel et al B				
IRN/4058/2020	2020-09-25	2.00	19A	Iran		Iran		202039	MZ314348	Homo sapiens	B.1.36	Older	Asia		Zeinali et al				
IRN/3533/2020	2020-10-10	3.00	19A	Iran		Iran		202041	MZ314345	Homo sapiens	B.1.36.7	Older	Asia		Khosravi et al				
IRQ/NN_Erbil/2021	2021-01-20	3.00	19A	Iraq		Iraq		202103	MW527392	Homo sapiens	B.1.36.1	Older	Asia		Dler et al				
HongKong/Case5138/2020	2020-10-07	2.00	19A	Hong Kong		Hong Kong		202041	MW181741	Homo sapiens	B.1.36.29	Older	Asia		Siu et al D				
PAK/AKUs46/2020	2020-08-25	1.00	19A	Pakistan		Pakistan		202035	MW433718	Homo sapiens	B.1.36	Older	Asia		Ghanchi et al B				
TWN/CGMH-CGU-36/2020	2020-09-17	1.00	19A	Taiwan		Taiwan		202038	MW356672	Homo sapiens	B.1.36.16	Older	Asia		Tsao et al E				
MMR/DSMRC_005/2021	2021-01-09	2.00	19A	Myanmar		Myanmar		202101	MW491246	Homo sapiens	B.1.36.16	Older	Asia		Oo et al A				
MYS/USM_Monash_JKNK_C10023/2020	2020-11-27	1.00	19A	Malaysia		Malaysia		202048	MZ461922	Homo sapiens	B.1.36.16	Older	Asia		Chan et al B				
MYS/C11304/2020	2020-12-06	1.00	19A	Malaysia		Malaysia		202050	MW757201	Homo sapiens	B.1.36.16	Older	Asia		Chan et al C				
IND/GBRC587/2021	2021-02-03	2.00	19A	India		India		202105	MZ317894	Homo sapiens	B.1.36	Older	Asia		Savaliya et al A				
IND/AIIMS-Bhopal-Sample09/2021	2021-03-07	3.00	19A	India		Madhya Pradesh		202110	MZ562751	Homo sapiens	B.1.36.22	Older	Asia		Singh et al				
IND/GBRC509a/2020	2020-12-09	2.00	19A	India		India		202050	MZ266567	Homo sapiens	B.1.36	Older	Asia		Patel et al B				
IND/GBRC557b/2021	2021-01-11	3.00	19A	India		India		202102	MZ292150	Homo sapiens	B.1.36	Older	Asia		Soni et al A				
HongKong/HKPU-0001/2020	2020-11-29	1.00	19A	Hong Kong		Hong Kong		202049	MW757208	Homo sapiens	B.1.36	Older	Asia		Siu et al E				
HongKong/HKPU-00012/2021	2021-01-10	1.00	19A	Hong Kong		Hong Kong		202102	MW768961	Homo sapiens	B.1.36	Older	Asia		Wong et al A				
CHN/RS4_pool/2021	2021-01-16	1.00	19A	China		China		202102	MZ578003	Homo sapiens	B.1.36	Older	Asia		Xu et al				
HongKong/HKPU-00137/2021	2021-03-11	1.00	19A	Hong Kong		Hong Kong		202110	MZ266486	Homo sapiens	B.1.36	Older	Asia		Siu et al F				
EGY/CUNCI-HGC7I07/2020	2020-07-19	2.00	20A	Egypt		Egypt		202030	MT800023	Homo sapiens	B.1	Older	Africa		Zekri et al C				
EGY/CUNCI-HGC10I032/2020	2020-12-25	2.00	20A	Egypt		Egypt		202052	MW504775	Homo sapiens	B.1	Older	Africa		Zekri et al D				
USA/AK-PHL6592/2020	2020-12-12	2.00	20C	USA		Alaska		202050	MZ233559	Homo sapiens	B.1.426	Older	North America		DeRonde et al A				
USA/COVID20-0182/2020	2020-05-06	1.00	20C	USA		South Carolina		202019	MT786941	Homo sapiens	B.1.521	Older	North America		Flores et al B				
USA/MS-QDX-3493/2020	2020-09-09	1.00	20C	USA		Mississippi		202037	MW521732	Homo sapiens	B.1.265	Older	North America		Rosenthal et al E				
USA/WV118930/2020	2020-10-14	1.00	20C	USA		West Virginia		202042	MZ498101	Homo sapiens	B.1.265	Older	North America		Denvir et al A				
AUS/TAS111/2020	2020-03-31	1.00	20C	Australia		Tasmania		202014	MT973440	Homo sapiens	B.1	Older	Oceania		Sait et al V		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC1174/2020	2020-04-10	1.00	20C	Australia		Victoria		202015	MT451783	Homo sapiens	B.1	Older	Oceania		Seemann et al I		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC1316/2020	2020-04-11	1.00	20C	Australia		Victoria		202015	MT641744	Homo sapiens	B.1	Older	Oceania		Caly et al V		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
USA/MS-USAFSAM-S025/2020	2020-03-30	1.00	20C	USA		Mississippi		202014	MT873891	Homo sapiens	B.1.595	Older	North America		Fries et al A		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	
USA/NC-SLPH-0001/2020	2020-06-12	1.00	20C	USA		North Carolina		202024	MT997203	Homo sapiens	B.1.595	Older	North America		Chase et al A				
USA/P44e/2020	2020-05-12	1.00	20C	USA		Alabama		202020	MT820127	Homo sapiens	B.1.595	Older	North America		Wood et al				
AUS/NT52/2020	2020-07-08	1.00	20C	Australia		Northern Territory		202028	MT972100	Homo sapiens	B.1.595	Older	Oceania		Sait et al W		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
USA/IA-UW-662/2020	2020-06-27	1.00	20C	USA		Iowa		202026	MT772439	Homo sapiens	B.1.595	Older	North America		Moreno et al A				
USA/WI-UW-793/2020	2020-07-05	1.00	20C	USA		New York		202028	MT795903	Homo sapiens	B.1.595	Older	North America		Moreno et al B				
USA/LA-BIE-082/2020	2020-04-06	1.00	20C	USA		Louisiana		202015	MT446350	Homo sapiens	B.1.595	Older	North America		Lamers et al A				
USA/WV064673/2020	2020-12-28	1.00	20C	USA		West Virginia		202053	MZ500544	Homo sapiens	B.1.595	Older	North America		Denvir et al B				
USA/OH-CDC-LC0009269/2021	2021-01-23	1.00	20C	USA		Ohio		202103	MW640386	Homo sapiens	B.1.577	Older	North America		Cook et al A				
USA/LA-CDC-LC0014970/2021	2021-02-09	2.00	20C	USA		Louisiana		202106	MW705264	Homo sapiens	B.1.595	Older	North America		Cook et al B				
USA/TN-QDX-3379/2020	2020-10-20	1.00	20C	USA		Tennessee		202043	MW522484	Homo sapiens	B.1.2	Older	North America		Rosenthal et al F				
USA/WY-CDC-LC0034093/2021	2021-03-19	1.00	20G	USA		Wyoming		202111	MW903253	Homo sapiens	B.1.2	Older	North America		Howard et al C				
USA/ND-CDC-2-3847123/2021	2021-01-26	2.00	20G	USA		North Dakota		202104	MW708911	Homo sapiens	B.1.2	Older	North America		Queen et al D				
USA/WV064569/2020	2020-01-25	2.00	20G	USA		West Virginia		202004	MZ500497	Homo sapiens	B.1.2	Older	North America		Denvir et al C				
USA/SD-SDPHL-0097/2020	2020-11-08	2.00	20G	USA		South Dakota		202046	MW788458	Homo sapiens	B.1.2	Older	North America		Carlson et al A				
USA/ND-CDC-2-4044520/2020	2020-11-15	2.00	20G	USA		North Dakota		202047	MW550378	Homo sapiens	B.1.2	Older	North America		Queen et al E				
USA/CO-Broad-CMU_00017/2020	2020-10-30	3.00	20G	USA		Colorado		202044	MW521521	Homo sapiens	B.1.2	Older	North America		Lemieux et al A		Colorado Mesa University	Broad Institute of Harvard and MIT	
USA/MA-MGH-04071/2021	2021-01-31	2.00	20G	USA		Massachusetts		202105	MW687497	Homo sapiens	B.1.2	Older	North America		Lemieux et al B				
USA/WA-S3456/2020	2020-12-08	1.00	20G	USA		Washington		202050	MW494076	Homo sapiens	B.1.2	Older	North America		Nickerson et al D				
USA/FL-BPHL-2396/2020	2020-10-19	1.00	20G	USA		Florida		202043	MW490989	Homo sapiens	B.1.2	Older	North America		Schmedes et al B				
USA/PA-CDC-QDX22725888/2021	2021-03-02	1.00	20G	USA		Pennsylvania		202109	MW793057	Homo sapiens	B.1.2	Older	North America		Cook et al C				
USA/VA_NIDDL_27859/2020	2020-10-25	1.00	20G	USA		Virginia		202044	MW974588	Homo sapiens	B.1.2	Older	North America		Voegtly et al A				
USA/DE-CDC-2-3714051/2020	2020-10-28	1.00	20G	USA		Delaware		202044	MW495893	Homo sapiens	B.1.2	Older	North America		Queen et al F				
USA/DE-CDC-2-3904745/2021	2021-02-08	1.00	20G	USA		Delaware		202106	MZ779555	Homo sapiens	B.1.2	One month ago	North America		Sheth et al A				
USA/TN-CDC-2-3693580/2020	2020-11-25	1.00	20G	USA		Tennessee		202048	MW460877	Homo sapiens	B.1.2	Older	North America		Queen et al G				
USA/MN-MDH-1733/2020	2020-09-16	1.00	20G	USA		Minnesota		202038	MW086907	Homo sapiens	B.1.2	Older	North America		Plumb et al				
USA/GA-CDC-LC0006263/2021	2021-01-18	2.00	20G	USA		Georgia		202103	MW636535	Homo sapiens	B.1.2	Older	North America		Cook et al D				
USA/OH-CDC-2-3714299/2020	2020-11-11	1.00	20G	USA		Ohio		202046	MW496007	Homo sapiens	B.1.2	Older	North America		Queen et al H				
USA/MI-CDC-2-3714061/2020	2020-11-07	2.00	20G	USA		Michigan		202045	MW578277	Homo sapiens	B.1.2	Older	North America		Queen et al I				
USA/NMDOH-2020417173/2020	2020-10-14	1.00	20G	USA		New Mexico		202042	MW883197	Homo sapiens	B.1.2	Older	North America		Johnson et al B				
TWN/CGMH-CGU-43/2020	2020-12-21	2.00	20G	Taiwan		Taiwan		202052	MZ020651	Homo sapiens	B.1.2	Older	Asia		Tsao et al F				
USA/FL-BPHL-2946/2020	2020-11-30	2.00	20G	USA		Florida		202049	MW566909	Homo sapiens	B.1.2	Older	North America		Schmedes et al C				
USA/DC-DFS-PHL-0264/2021	2021-01-19	1.00	20G	USA		Washington DC		202103	MZ487711	Homo sapiens	B.1.596	Older	North America		Nguyen et al B				
USA/DC-DFS-PHL-0287/2021	2021-02-03	1.00	20G	USA		Washington DC		202105	MZ488113	Homo sapiens	B.1.596	Older	North America		Nguyen et al C				
TWN/CGMH-CGU-33/2020	2020-10-04	1.00	20G	Taiwan		Taiwan		202041	MW356786	Homo sapiens	B.1.2	Older	Asia		Tsao et al G				
USA/DC-CDC-STM-000013967/2021	2021-02-13	1.00	20G	USA		Washington DC		202106	MW941408	Homo sapiens	B.1.2	Older	North America		Howard et al D				
USA/MT-BHDH-2716/2020	2020-06-18	1.00	20G	USA		Montana		202025	MW861375	Homo sapiens	B.1.2	Older	North America		Nemudryi et al A				
USA/CA-CZB-16965/2020	2020-11-30	1.00	20G	USA		California		202049	MW702311	Homo sapiens	B.1.2	Older	North America		Consortium et al				
USA/TN-CDC-LC0004747/2021	2021-01-04	1.00	20G	USA		Tennessee		202101	MW638735	Homo sapiens	B.1.2	Older	North America		Cook et al E				
USA/MI-Noblis-S12B06/2020	2020-10-01	1.00	20G	USA		Michigan		202040	MW876868	Homo sapiens	B.1.2	Older	North America		Brinkac et al				
USA/ND-CDC-IBX594731007708/2021	2021-03-21	1.00	20G	USA		North Dakota		202112	MZ718269	Homo sapiens	B.1.2	One month ago	North America		Howard et al E				
DJI/NAMRU3_B198/2021	2021-02-09	3.00	20G	Djibouti		Djibouti		202106	MZ520088	Homo sapiens	B.1.2	Older	Africa		Arnold et al C				
USA/DE-CDC-2-3904715/2021	2021-02-10	2.00	20G	USA		Delaware		202106	MZ779529	Homo sapiens	B.1.2	One month ago	North America		Sheth et al B				
USA/KS-CDC-LC0000329/2020	2020-12-26	1.00	20G	USA		Kansas		202052	MW634162	Homo sapiens	B.1.2	Older	North America		Cook et al F				
USA/WA-S4761/2021	2021-02-09	1.00	20G	USA		Washington		202106	MW685658	Homo sapiens	B.1.2	Older	North America		Nickerson et al E				
USA/MS-CDC-LC0015018/2021	2021-02-10	1.00	20G	USA		Mississippi		202106	MW704710	Homo sapiens	B.1.2	Older	North America		Cook et al G				
USA/ME-CDC-QDX22081731/2021	2021-02-16	1.00	20G	USA		Maine		202107	MW697069	Homo sapiens	B.1.596	Older	North America		Cook et al H				
USA/ND-CDC-ASC210015283/2021	2021-03-21	1.00	20G	USA		North Dakota		202112	MW891785	Homo sapiens	B.1.596	Older	North America		Howard et al F				
USA/NV-QDX-3266/2020	2020-11-12	1.00	20G	USA		Nevada		202046	MW522447	Homo sapiens	B.1.2	Older	North America		Rosenthal et al G				
USA/OK-CDC-LC0003061/2021	2021-01-09	1.00	20G	USA		Oklahoma		202101	MW638142	Homo sapiens	B.1.2	Older	North America		Cook et al I				
USA/LA-CDC-2-3769284/2020	2020-12-31	1.00	20G	USA		Louisiana		202053	MW550500	Homo sapiens	B.1.2	Older	North America		Queen et al J				
USA/KY-CDC-LC0014053/2021	2021-02-11	1.00	20G	USA		Kentucky		202106	MW705625	Homo sapiens	B.1.2	Older	North America		Cook et al J				
AUS/VIC376/2020	2020-03-22	2.00	20C	Australia		Victoria		202013	MT451264	Homo sapiens	B.1.320	Older	Oceania		Seemann et al J		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
